1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,,,Assertion *,,"Illocutionary act of presenting a proposition as true (or as to-be-accepted) and thereby placing it into the space of reasons, commitments, and challenges. Contemporary work focuses on its norms (e.g., whether knowledge or justified belief is required) and its role in communication",
,,,,Promises *,,"Illocutionary act that undertakes an obligation (or commitment) to perform a future action, thereby altering normative relations between speaker and addressee. Its analysis emphasizes conditions like authority/standing, intention, and uptake.",
,,,,Performatives,,"Utterances (often in explicit 1st-person present form, like “I promise…”) perform the act they name when said under appropriate conditions. Success is modeled via felicity conditions rather than truth conditions.",
,Specific Expressions,,,,,,
,,Adverbs,,,,,
,,Attitude Ascriptions,,,,,
,,,De Re Belief *,,,,
,,,Desire Ascriptions,,,,
,,,Fregean Theories of Attitude Ascriptions,,,,
,,,Perceptual Reports *,,,,
,,,Russellian Theories of Attitude Ascriptions,,,,
,,,Frege's Puzzle *,,,,
,,,Hidden-Indexical Theories of Attitude Ascriptions,,,,
,,,Substitutivity in Attitude Ascriptions,,,,
,,,Kripke's Puzzle About Belief,,,,
,,,Speech Reports *,,,,
,,Conditionals,,,,,
,,,Truth-Conditional Accounts of Indicative Conditionals,,,,
,,,Epistemic Accounts of Indicative Conditionals,,,,
,,,Pragmatic Accounts of Indicative Conditionals,,,,
,,,Indicative Conditionals and Conditional Probabilities,,,,
,,,Possible-World Theories of Counterfactuals,,,,
,,,Logic of Conditionals,,,,
,,,Causal Theories of Counterfactuals,,,,
,,,Counterpossible Conditionals,,,,
,,,Indicative vs Subjunctive Conditionals,,,,
,,,Conditional Assertion,,,,
,,Connectives,,,,,
,,,Conditionals *,,,,
,,,Conjunction,,,,
,,,Disjunction,,,,
,,,Logical Connectives *,,,,
,,,Negation,,,,
,,Descriptions,,,,,
,,,Attributive and Referential Uses of Descriptions,,,,
,,,Descriptions as Predicates,,,,
,,,Descriptive Theories of Reference *,,,,
,,,Descriptive Theories of Names *,,,,
,,,Incompleteness of Descriptions,,,,
,,,Indefinite Descriptions,,,,
,,,Presuppositional Account of Descriptions,,,,
,,,Russell's Theory of Descriptions,,,,
,,Determiners,,,,,
,,,Complex Demonstratives *,,,,
,,,Numerical Expressions,,,,
,,,Possessives,,,,
,,,Quantifiers *,,,,
,,Indexicals and Demonstratives,,,,,
,,,Demonstrative Theories of Names *,,,,
,,,Direct Reference Theories of Indexicals,,,,
,,,The First-Person Pronoun,,,,
,,Modal Expressions,,,,,
,,,Possible-World Theories of Counterfactuals *,,,,
,,,Deontic Modals,,,,
,,,Epistemic Modals,,,,
,,Names,,,,,
,,,Frege's Puzzle *,,,,
,,,Kripke's Puzzle About Belief *,,,,
,,,Rigid Designation *,,,,
,,Nouns,,,,,
,,,Names *,,,,
,,,Slurs,,,,
,,Predicates,Predicates and Context-Dependence,,,,
,,Quantifiers,Variables *,,,,
,,Verbs,Attitude Ascriptions *,,,,
,,,Intensional Transitive Verbs ,,,,
,,,"States, Activities, Accomplishments, Achievements *",,,,
,,Speech Reports,,,,,
,Syntax,,,,,,
,,Syntactic Phenomena,,,,,
,,Syntactic Theories,,,,,
,,Linguistic Innateness,,,,,
,,,Linguistic Universals *,,,,
,,,Universal Grammar *,,,,
,Truth,,,,,,
,,Theories of Truth,,,,,
,,,Coherence Theory of Truth,,,"A proposition is true when it fits with the most coherent overall set of propositions—one that is internally consistent and whose members mutually support one another through inference and explanation. Often, coherence is assessed relative to an idealized, maximally comprehensive set of beliefs rather than whatever someone happens to accept.","A proposition is true if it fits logically and consistently within a larger, unified system of beliefs. It rejects the that truth requires matching an external reality, focusing instead on internal logical harmony."
,,,Correspondence Theory of Truth,,,"A proposition is true when it corresponds to reality—when what it says matches how things are (states of affairs, facts, or features of reality). The central idea is that truth depends on the world, not merely on relations among beliefs or sentences.",A proposition is true only if it accurately reflects or matches actual facts in the objective world. It represents the common-sense intuition that truth consists of a direct relationship between our words and reality.
,,,Deflationism about Truth,,,"“True” does not name a deep or explanatory property; it mainly serves logical and linguistic roles such as endorsing a statement (“That’s true”) or enabling generalization (“Everything she said is true”). Many deflationists emphasize schemas like: “ ‘P’ is true iff P,” treating this as capturing the core function of the truth predicate.","""Truth"" is not a substantive property or characteristic, but merely a linguistic tool used for endorsement. It claims that asserting ""it is true that snow is white"" is semantically identical to simply saying ""snow is white."""
,,,Pragmatism about Truth,,,"Truth is tied to inquiry and practice: a belief counts as true insofar as it “works” in experience and would be stable or vindicated under successful (often idealized) inquiry. Different pragmatists spell this out via notions like long-run convergence of investigation, practical success, or warranted assertibility.",Truth based on practical utility. True beliefs are those proven useful or successful in practice. It often equates truth with the final consensus that researchers would reach after unlimited inquiry.
,,,Tarskian Theories of Truth,,,,
,,,Pluralism about Truth,,,,
,,"Truth, Miscellaneous",,,,,
,,,Relativism about Truth,,,,
,,,Truth Bearers,,,,
,,,Truthmakers *,,,,
,,,Truth-Aptness,,,,
,,,Truth and Justification,,,,
,,Liar Paradox *,,,,,
,Vagueness and Indeterminacy *,,,,,,
,,Theories of Vagueness,,,,,
,,,Contextual Theories of Vagueness,,,,
,,,Degree Theories of Vagueness,,,,
,,,Epistemic Theories of Vagueness,,,,
,,,Supervaluationism,,,,
,,,Truth-Value Gluts *,,,,
,,,Truth-Value Gaps *,,,,
,,Indeterminacy,,,,,
,,,Quantum Indeterminacy *,,,,
,,,Indeterminacy in Mathematics *,,,,
,,,Problem of the Many *,,,,
,,,The Open Future *,,,,
,,,Indeterminacy and Legal Reasoning *,,,,
,,,The Indeterminacy of Translation *,,,,
,,,Indeterminacy and Inscrutability of Reference *,,,,
,,Higher-Order Vagueness,,,,,
,,Sorites Paradox,,,,,
,,Vague Objects *,,,,,
,,Vague Identity *,,,,,
,,Vagueness in Ethics and the Law,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Philosophy of Mind,,,,,,,
,Philosophy of Consciousness,,,,,,
,,"Philosophy of Consciousness, General Works",,,,,
,,The Concept of Consciousness,,,,,
,,Explaining Consciousness?,,,,,
,,,What is it Like?,,,,
,,,Subjectivity and Consciousness,,,,
,,,The Explanatory Gap,,,,
,,,Hard' and Easy' Problems,,,,
,,,Cognitive Closure,,,,
,,,Conceptual Analysis and A Priori Entailment,,,,
,,Consciousness and Materialism,,,,,
,,,The Knowledge Argument,,,,
,,,Zombies and the Conceivability Argument,,,,
,,,Kripke's Modal Argument Against Materialism,,,,
,,,Arguments from Disembodiment,,,,
,,,Other Anti-Materialist Arguments,,,,
,,,Qualia and Materialism *,,,,
,,Phenomenal Concepts *,,,,,
,,"Mind-Body Problem, General",,,,,
,,Theories of Consciousness,,,,,
,,,Representationalism *,,,,
,,,Higher-Order Theories of Consciousness,,,,
,,,,Higher-Order Thought Theories of Consciousness,,,
,,,,Higher-Order Perception Theories of Consciousness,,,
,,,,Self-Representational Theories of Consciousness,,,
,,,Functionalist Theories of Consciousness,,,,
,,,,Dennett's Functionalism,,,
,,,,Functionalism and Qualia *,,,
,,,,Absent Qualia *,,,
,,,,Cognitive Models of Consciousness *,,,
,,,,Functionalism and Self-Consciousness *,,,
,,,Biological Theories of Consciousness,,,,
,,,,Searle's Biological Naturalism,,,
,,,,Consciousness and Biology *,,,
,,,,Neurobiological Theories and Models of Consciousness *,,,
,,,,Mind-Brain Identity Theory *,,,
,,,Panpsychism,,,,
,,,,The Combination Problem for Panpsychism,,,
,,,,Neutral Monism *,,,
,,,,Russellian Monism *,,,
,,,,History: Panpsychism,,,
,,,Dualism about Consciousness,,,,
,,,Eliminativism about Consciousness,,,,
,,,Illusionism about Consciousness,,,,
,,,Idealism *,,,,
,,,Phenomenalism *,,,,
,,,Neutral Monism,,,,
,,,Russellian Monism,,,,
,,Consciousness and Content,,,,,
,,,Consciousness and Intentionality,,,,
,,,Representationalism,,,,
,,,Phenomenal Intentionality,,,,
,,,Conscious Thought,,,,
,,,Internalism and Externalism about Experience,,,,
,,,Phenomenal Concepts,,,,
,,Aspects of Consciousness,,,,,
,,,Extended Consciousness,,,,
,,,The Unity of Consciousness,,,,
,,,Homogeneity of Consciousness,,,,
,,,Knowledge of Consciousness,,,,
,,,The Function of Consciousness,,,,
,,,Unconscious States,,,,
,,,Collective Consciousness,,,,
,,,The Value of Consciousness,,,,
,,Conscious States,,,,,
,,,Perception *,,,,
,,,Emotions *,,,,
,,,Temporal Experience *,,,,
,,,Bodily Experience *,,,,
,,,Attention and Consciousness *,,,,
,,,Consciousness of Action,,,,
,,,Inner Speech *,,,,
,,,Cognitive Phenomenology,,,,
,,,Pleasure *,,,,
,,,Pain *,,,,
,,Qualia,,,,,
,,,Qualia and Materialism,,,,
,,,Eliminativism about Qualia,,,,
,,,The Inverted Spectrum,,,,
,,,Absent Qualia,,,,
,,,Functionalism and Qualia,,,,
,,Self-Consciousness,,,,,
,,,Self-Consciousness in Psychology *,,,,
,,,Immunity to Error through Misidentification,,,,
,,,Animal Self-Consciousness *,,,,
,,,Functionalism and Self-Consciousness,,,,
,,,First-Person Contents *,,,,
,,,Self-Consciousness in Experience,,,,
,,,Self-Consciousness in Action,,,,
,,,Nonconceptual/Prereflective Self-Consciousness,,,,
,,Science of Consciousness *,,,,,
,Intentionality,,,,,,
,,Propositional Attitudes,,,,,
,,,The Language of Thought,,,,
,,,The Intentional Stance,,,,
,,,Eliminativism about Propositional Attitudes,,,,
,,,Belief *,,,,
,,,Desire *,,,,
,,,Thought and Thinking *,,,,
,,,Propositions *,,,,
,,,Attitude Ascriptions *,,,,
,,Content Internalism and Externalism,,,,,
,,,Varieties of Content Externalism,,,,
,,,,Twin Earth and Externalism,,,
,,,,Social Externalism,,,
,,,,Extended Cognition *,,,
,,,,Internalism and Externalism about Experience *,,,
,,,Externalism and Self-Knowledge,,,,
,,,,Externalism and Slow Switching,,,
,,,,Externalism and Armchair Knowledge,,,
,,,Externalism and Cognitive Science,,,,
,,,,Externalism and Computation,,,
,,,,Externalism and the Theory of Vision,,,
,,,,Externalism and Psychological Explanation,,,
