1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
,,,,Equality of Opportunity,,,,"Equality of opportunity is a political ideal that is opposed to caste hierarchy but not to hierarchy per se. The background assumption is that a society contains a hierarchy of more and less desirable, superior and inferior positions. Or there may be several such hierarchies. In a caste society, the assignment of individuals to places in the social hierarchy is fixed by birth. The child acquires the social status of his or her parents at least if their union is socially sanctioned. Social mobility may be possible in a caste society, but the process whereby one is admitted to a different level of the hierarchy is open only to some individuals depending on their initial ascriptive social status. In contrast, when equality of opportunity prevails, the assignment of individuals to places in the social hierarchy is determined by some form of competitive process, and all members of society are eligible to compete on equal terms. Different conceptions of equality of opportunity construe this idea of competing on equal terms variously.",,/entries/equal-opportunity/,Equality of Opportunity,https://plato.stanford.edu/archives/win2021/entries/equal-opportunity/,title_exact_strict,
,,,,Basic Equality,,,,,,,,,,
,,,Discrimination,,,,,"Discrimination is prohibited by six of the core international human rights documents. The vast majority of the world's states have constitutional or statutory provisions outlawing discrimination (Osin and Porat 2005). And most philosophical, political, and legal discussions of discrimination proceed on the premise that discrimination is morally wrong and, in a wide range of cases, ought to be legally prohibited. However, co-existing with this impressive global consensus are many contested questions, suggesting that there is less agreement about discrimination than initially meets the eye. What is discrimination? Is it a conceptual truth that discrimination is wrong, or is it a substantive moral judgment? What is the relation of discrimination to oppression and exploitation? What are the categories on which acts of discrimination can be based, aside from such paradigmatic classifications as race, religion, and sex? These are some of the contested issues.","Differential treatment based on protected characteristics like race, sex, or disability. While widely condemned as unjust, debates concern what makes discrimination wrongful, whether all differential treatment constitutes discrimination, and when discrimination might be permissible (affirmative action). Accounts emphasize disrespect, harm, or wrongful classification.",/entries/discrimination/,Discrimination,https://plato.stanford.edu/archives/win2021/entries/discrimination/,title_exact_strict,
,,,,Rights Against Discrimination *,,,,,,,,,,
,,,,Sexual Discrimination *,,,,,,,,,,
,,,,Racial Discrimination *,,,,,,,,,,
,,,,Bias *,,,,,,,,,,
,,Freedom and Liberty,,,,,,,,,,,,
,,,Free Will *,,,,,,,,,,,
,,,Autonomy,,,,,,,,,,,
,,,,Autonomy in Applied Ethics *,,,,,,,,,,
,,,,Multiculturalism and Autonomy *,,,,,,,,,,
,,,,Autonomy in Political Theories,,,,,,,,,,
,,,,Autonomy and Moral Psychology,,,,,,,,,,
,,,Specific Freedoms,,,,,,,,,,,
,,,,Freedom of Assembly,,,,,,,,,,
,,,,Freedom of Association,,,,"In almost all our activities, we engage with other people, usually in persistent connections or associations that vary according to our purposes. We have foundational associative experiences within our families; formative years of schooling with peers and teachers; workplace links with bosses, employees, and colleagues with whom we share at least corridors, carpet, and resources; and connections with like-minded companions, such as fellow hobbyists, devotees, friends, or union members. Some of our associations are voluntary, such as a typical friendship. Others are non-voluntary, such as the childhood family or institutional environment in which we are born and raised. Some of our associations offer lasting connections with specific people, such as, usually, our parents, children, spouses, and colleagues. Others are looser affiliations with people we may not know directly, based on common identity, history, or ambition, such as a national club, a student union, the ""Republican base"", the ""American people"", the Jewish community, and Christians. Some of these latter affiliations stretch the notion of an association into a metaphor, but they highlight that associations are defined by people having a common purpose. That common purpose is sometimes the association itself: many of our intimate associations exist for their own sake, that is, for the sake of associating with one another. Other times, the common purpose is a further, independent goal, such as financial success, worship, recreation, achievement, joint self-expression, or political control. This entry surveys several philosophical debates about the nature, scope, and value of our freedom to associate with other people in these different ways as well as our freedom to dissociate both from particular people and from people in general. Key questions concern, first, our degree of freedom to decide who is in and who is out: When may we refuse to associate with other people? When may we leave the associations we are in? When may we deny someone membership in our association? When may third-parties, such as the state, sever, compel, or intrude upon our associations? Second, key questions concern our degree of freedom to decide what to do as associates: What level of control should we have over the internal workings of our associations, especially if those workings harm either members or non-members? To what extent may we radically reshape, and thereby redefine, the associations we are in? The answers to these two sets of questions will provide a unifying analysis of the vast and seemingly disparate array of associations to which we can belong. The analysis will explore the phenomenology of different kinds of associations, from the intimate world of family life to the detached relations among strangers that define citizenship. The analysis will assess the meaning, function, and value of freedom of association within this comprehensive image of associative life. There are several different frameworks through which to assess the value of association and freedom of association. Kantians would emphasize the importance of securing equal external freedom for individual citizens, something which the state can help to secure by hindering those who would hinder others' freedom. Rawlsians would highlight that freedom of association, like other basic rights and liberties, has a certain priority in political reasoning and cannot easily be defeated by countervailing considerations (Quong 2011: 15; cf. Moles 2014: 85-103). In a Rawlsian framework, the scope and limits of freedom of association are justified with reference to what we need in order to develop and exercise what Rawls calls the two moral powers (which are, first, the capacity for a sense of justice and, second, the capacity for a conception of the good) (Rawls 1993: 19-20). This entry will take a broader view of freedom of association, focusing on the diverse range of associations we can have, and highlighting, specifically, the array of social goods that our associations can make available to us. This entry begins with a taxonomy of different ways of associating and the related phenomena of interacting and assembling ( 1). It then elucidates the general apparatus of rights, duties, and freedoms that underpin different associative contexts ( 2) before homing in on three rights in particular-the right to exclude ( 3), the right to exit ( 4), and the right to organizational autonomy ( 5; White 2013)-distinguishing between the rights of individuals vis-a-vis groups, and the rights of groups qua groups. The entry connects individuals' associative rights to other rights that contain associative aspects, such as freedom of expression and freedom of religion. The entry discusses groups' associative rights in relation to kindred, collective, and national freedoms, such as national self-governance and immigration control, exploring how these latter freedoms connect to the wider framework of associative freedom. Examining states' rights to exclude and self-govern is necessary here since some philosophers invoke a parallel between individuals' associative freedoms and states' rights in order to defend comprehensive state rights to exclude. The entry also assesses the importance of associative freedom relative both to competing rights (such as positive rights to inclusion, care, and companionship) and other values (such as equality and state interests).","The right to form and join voluntary associations including clubs, unions, religious groups, and political parties. Questions concern association's value (expressive, instrumental, or intrinsic), limits on associational freedom (anti-discrimination laws), and tensions between association rights and equality. Debates address forced association and intimate association.",/entries/freedom-association/,Freedom of Association,https://plato.stanford.edu/archives/win2021/entries/freedom-association/,title_exact_strict,
